Maker,Type,Coil Center,Thickness ,Max lines,Suggest Min Trim loss (mm),Max MC weight (KG),Min MC Width (mm),Max MC Width (mm),Min Trim loss (mm)
POSCOVST,SUS409L,NQS,4.0<T≤5.0,7,10,25000,500,1600,9
JFE,SUS410,NQS,≤0.8,15,6,25000,500,1600,4
JFE,SUS410,NQS,0.8<T≤2.0,13,6,25000,500,1600,5
JFE,SUS410,NQS,2.0<T≤3.0,13,6,25000,500,1600,6
JFE,SUS410,NQS,3.0<T≤4.0,11,8,25000,500,1600,7
JFE,SUS410,NQS,4.0<T≤5.0,9,10,25000,500,1600,9
JFE,SUS410,NQS,5.0<T≤6.0,7,12,25000,500,1600,12
NSC,SUS410,NQS,≤0.8,15,6,25000,500,1600,4
NSC,SUS410,NQS,0.8<T≤2.0,13,6,25000,500,1600,5
NSC,SUS410,NQS,2.0<T≤3.0,13,6,25000,500,1600,6
NSC,SUS410,NQS,3.0<T≤4.0,11,8,25000,500,1600,7
NSC,SUS410,NQS,4.0<T≤5.0,9,10,25000,500,1600,9
NSC,SUS410,NQS,5.0<T≤6.0,7,12,25000,500,1600,12
POSCO,SUS410,NQS,≤0.8,15,6,25000,500,1600,4
POSCO,SUS410,NQS,0.8<T≤2.0,13,6,25000,500,1600,5
POSCO,SUS410,NQS,2.0<T≤3.0,13,6,25000,500,1600,6
POSCO,SUS410,NQS,3.0<T≤4.0,11,8,25000,500,1600,7
POSCO,SUS410,NQS,4.0<T≤5.0,9,10,25000,500,1600,9
POSCO,SUS410,NQS,5.0<T≤6.0,7,12,25000,500,1600,12
,F:FINISHED,NQS,≤1.0,15,6,10000,30,650,6
,F:FINISHED,NQS,1.0<T≤2.5,10,6,10000,30,650,6
CSC,All,HSC,≤0.8,20,6,20000,100,1300,5
CSC,All,HSC,0.8<T≤1.0,18,6,20000,100,1300,6
CSC,All,HSC,1.0<T≤1.2,17,7,20000,100,1300,6
CSC,All,HSC,1.2<T≤1.6,15,7,20000,100,1300,6
CSC,All,HSC,1.6<T≤1.8,14,7,20000,100,1300,6
